sl no,Crop,Latitude,Longitude,LAI,band1
"1",Wheat,32.105963889999998,76.566902780000007,0.400000000000000,-0.0578661859035492
"2",Wheat,32.119565280000003,76.570719999999994,2.460000000000000,-0.0268630851060152
"3",Wheat,32.107753610000003,76.577593329999999,0.690000000000000,-0.0550691895186901
"4",Wheat,32.097469760000003,76.554674950000006,1.650000000000000,0.145230978727341
"5",Wheat,32.148606389999998,76.524150559999995,1.810000000000000,-0.0479083880782127
"6",Wheat,32.141784999999999,76.539846670000003,1.690000000000000,-0.0464461632072926
"7",Wheat,32.103696110000001,76.491136670000003,1.910000000000000,0.409117817878723
"8",Wheat,32.113908060000000,76.483451669999994,1.923000000000000,0.0676432549953461
"9",Wheat,32.080933060000000,76.496664999999993,1.423000000000000,0.0236730631440878
"10",Wheat,32.083018610000003,76.474062219999993,1.997000000000000,0.559050619602203
"11",Wheat,32.071993890000002,76.460986669999997,1.563000000000000,0.416233509778976
"12",Wheat,32.053696670000001,76.481186940000001,1.810000000000000,0.236473381519318
"13",Wheat,32.036475830000001,76.476246390000000,2.620000000000000,0.532585620880127
"14",Wheat,32.024220829999997,76.461512499999998,2.367000000000000,0.550666272640228
"15",Wheat,31.951125000000001,76.459528610000007,1.360000000000000,0.490121096372604
"16",Wheat,31.916393329999998,76.462359719999995,1.513000000000000,0.514999985694885
"17",Wheat,32.001589719999998,76.466544999999996,0.897000000000000,0.523495495319366
"18",Wheat,32.024120279999998,76.459670000000003,2.803000000000000,0.442817181348801
"19",Wheat,32.036693610000000,76.508537779999997,1.667000000000000,0.279861509799957
"20",Wheat,32.066599719999999,76.530669169999996,1.313000000000000,0.43548920750618
"21",Wheat,32.037705559999999,76.579050559999999,2.043000000000000,0.18804806470871
"22",Wheat,32.034286389999998,76.590000829999994,1.137000000000000,0.139871388673782
"23",Wheat,32.021132219999998,76.599443609999994,1.943000000000000,0.517038762569427
"24",Wheat,32.085474480000002,76.575655810000001,1.077000000000000,-0.00668896315619349
"25",Wheat,32.123283330000000,76.513608610000006,0.377000000000000,-0.0463659130036831
"26",Wheat,32.124907499999999,76.524339720000000,0.847000000000000,-0.0402010045945644
"27",Wheat,32.118723889999998,76.493763329999993,1.247000000000000,0.16180108487606
"28",Wheat,32.133647779999997,76.461048610000006,0.867000000000000,0.452469319105148
